"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
0.1403,1.8787,-0.18962,0.12501,0.39488,0.010108,19.376,203.8,61.977,0
-0.8872,-0.52984,-0.035971,0.16492,0.769,0.026063,4.5731,232.29,61.854,0
-0.53528,-0.42225,-0.31737,0.2763,1.0927,0.030652,2.6885,246.26,61.743,0
1.0093,0.19305,-0.43324,0.19988,1.425,0.065896,2.2063,260.2,61.752,0
2.2445,0.47738,-0.30007,0.11785,1.2719,0.091951,1.457,274.14,61.791,0
2.8509,0.49642,-0.23088,0.081835,1.2662,0.11876,1.2193,288.1,61.834,0
2.9779,0.44772,-0.18276,0.06365,1.0717,0.10996,1.0098,302.06,61.867,0
3.0772,0.39959,-0.1532,0.052726,0.94308,0.1037,0.57783,316.03,61.889,0
3.1287,0.37537,-0.13887,0.04842,0.88899,0.10099,0.31453,330,61.9,0
9.9987,-0.15355,0.032429,0.2026,1.4676,0.067131,112.92,-20,75.91,0
10.069,-0.58422,0.1473,0.18105,1.3598,0.064758,112.45,-6.0198,75.916,0
9.9914,-0.13618,0.14,0.29175,1.177,0.031798,110.32,7.9131,75.962,0
9.6312,2.6562,0.13953,0.23049,0.99833,0.029427,108.02,21.731,76.05,0
11.229,-0.17718,0.13697,0.63391,1.5025,0.027464,75.299,36.17,75.965,0
12.02,-7.995,0.41713,1.5005,2.7927,0.036893,33.249,49.613,76.165,0
12.457,4.6225,0.075272,2.4293,3.6283,0.035749,-12.325,63.813,76.415,0
6.0472,-0.95098,0.27167,1.2744,2.0037,0.021412,18.787,77.974,76.396,0
2.4824,-1.2341,0.07185,0.13151,0.5678,0.018332,16.47,120.2,76.262,0
3.2095,-1.8545,0.15589,0.16744,0.69948,0.022304,22.916,133.62,75.886,0
4.1639,0.16944,-0.22356,0.19903,0.54302,0.011704,18.436,147.94,76.5,0
-0.57031,1.73,-0.13292,0.099504,0.34644,0.0095164,20.233,203.62,76.033,0
2.853,0.033883,-0.065959,0.1942,0.87625,0.027625,4.6198,232.34,75.799,0
2.0969,-0.12049,0.17221,0.20222,0.87599,0.027679,3.4297,246.22,75.673,0
1.8293,0.39653,-0.14915,0.18534,1.3253,0.063764,1.9566,260.15,75.727,0
1.8213,0.48857,-0.17995,0.10613,1.1604,0.088107,1.2809,274.11,75.787,0
2.0846,0.56305,-0.17242,0.069585,1.1345,0.11306,1.0834,288.07,75.838,0
2.0396,0.50039,-0.16041,0.053794,0.95328,0.10432,0.87994,302.05,75.874,0
2.097,0.44106,-0.1488,0.04645,0.86068,0.09951,0.49291,316.02,75.896,0
2.1515,0.41376,-0.1412,0.044436,0.83344,0.098038,0.27635,330,75.907,0
10.035,-0.44556,0.04532,0.20257,1.4673,0.067191,124.55,-20,89.861,0
10.452,-1.9385,0.23404,0.18215,1.3671,0.064948,121.48,-5.9733,89.827,0
12.827,-2.6184,0.2299,0.371,1.3654,0.034027,89.525,8.0166,89.818,0
13.532,2.9414,0.2765,0.48439,1.6131,0.036712,67.757,22.077,89.863,0
7.1202,1.9198,0.56428,0.43001,1.505,0.035645,134.79,35.888,90.025,0
-0.24674,-0.53474,-2.7807,1.408,2.0761,0.021668,163.2,49.707,90,0
1.0936,-0.46541,-0.089262,0.02849,0.17423,0.0069082,3.5509,64.689,90,0
0.1608,0.34516,0.20579,0.053859,0.20584,0.0074727,21.916,90.918,90.534,0
1.8869,-4.1296,0.1751,0.29799,1.2001,0.032286,27.727,106.13,90.023,0
1.2964,-1.7644,0.14755,0.13347,0.56873,0.018022,23.207,120.09,89.615,0
-0.34087,-1.9887,-0.21341,0.19969,0.89121,0.027953,20.947,133.96,89.928,0
2.0278,-2.4984,0.17517,0.22985,0.62125,0.012444,14.966,217.66,89.341,0
0.12885,0.43642,0.10417,0.24584,0.63095,0.012525,-0.53312,232.02,89.678,0
2.6954,0.041397,0.19517,0.26053,1.0632,0.030061,1.9915,246.13,89.593,0
3.501,0.85222,0.15639,0.16889,1.2445,0.061944,-0.38561,260.06,89.749,0
